Metric,Value
Symbol,GTYR
Company Name,Ghandhara Tyre & Rubber Company Limited
Price open,35.35
Price close,33.98
Price high,35.38
Price low,33.67
52 week high price,49.46
52 week low price,22.26
Market cap,4.14B
Shares outstanding,121.93M
Free float shares,48.77M
Weekly average volume,4.61M
Free Float %,40
Dividend Yield (%),0
Earnings Per Share,-6.34
Net Income Margin (%),-4.84
Price to Book Value,0.65
Price to Earnings,54.22
PEG Ratio,0.58
