Metric,Value
Symbol,TICL
Company Name,The Thal Industries Corporation Limited
Price open,1.04K
Price close,981.39
Price high,1.04K
Price low,951.1
52 week high price,1.27K
52 week low price,371.99
Market cap,14.74B
Shares outstanding,15.02M
Free float shares,226.46K
Weekly average volume,804.8
Free Float %,1.51
Dividend Yield (%),1.73
Earnings Per Share,182.06
Net Income Margin (%),7.68
Price to Book Value,1.2
Price to Earnings,3.36
PEG Ratio,0.31
