Metric,Value
Symbol,GEMMEL
Company Name,Mughal Energy Limited(GEM)
Price open,27.2
Price close,24.73
Price high,27.2
Price low,27.2
52 week high price,39
52 week low price,19.1
Market cap,4.8B
Shares outstanding,194.1M
Free float shares,19.41M
Weekly average volume,127.25
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
