Metric,Value
Symbol,HUMNL
Company Name,Hum Network Limited
Price open,10.99
Price close,10.66
Price high,10.99
Price low,10.51
52 week high price,18.65
52 week low price,10
Market cap,12.09B
Shares outstanding,1.13B
Free float shares,396.9M
Weekly average volume,623.06K
Free Float %,35
Dividend Yield (%),4.71
Earnings Per Share,0.1
Net Income Margin (%),1.29
Price to Book Value,0.99
Price to Earnings,107.82
PEG Ratio,-4.94
