Metric,Value
Symbol,SEARL
Company Name,The Searle Company Limited
Price open,92.8
Price close,91.52
Price high,93.59
Price low,91.1
52 week high price,137.44
52 week low price,76.37
Market cap,53.83B
Shares outstanding,588.22M
Free float shares,294.11M
Weekly average volume,1.98M
Free Float %,50
Dividend Yield (%),0
Earnings Per Share,2.04
Net Income Margin (%),6.01
Price to Book Value,1.57
Price to Earnings,39.8
PEG Ratio,185.25
