Metric,Value
Symbol,PICT
Company Name,Pakistan International Container
Price open,53.9
Price close,51.41
Price high,53.9
Price low,50.81
52 week high price,59.75
52 week low price,23.65
Market cap,5.61B
Shares outstanding,109.15M
Free float shares,21.83M
Weekly average volume,713.79K
Free Float %,20
Dividend Yield (%),0
Earnings Per Share,-1.17
Net Income Margin (%),-1.28K
Price to Book Value,4.14
Price to Earnings,164.11
PEG Ratio,2.14
