Metric,Value
Symbol,MUGHAL
Company Name,Mughal Iron & Steel Industries Limited
Price open,83.29
Price close,82.15
Price high,83.88
Price low,81.78
52 week high price,113.99
52 week low price,59
Market cap,27.57B
Shares outstanding,335.63M
Free float shares,117.47M
Weekly average volume,919.55K
Free Float %,35
Dividend Yield (%),0
Earnings Per Share,6.37
Net Income Margin (%),2.8
Price to Book Value,0.91
Price to Earnings,9.77
PEG Ratio,0.89
