Metric,Value
Symbol,PAKL
Company Name,Pak Leather Crafts Limited
Price open,57.83
Price close,53.61
Price high,57.83
Price low,53.16
52 week high price,82.75
52 week low price,30.61
Market cap,182.27M
Shares outstanding,3.4M
Free float shares,1.02M
Weekly average volume,6.65K
Free Float %,30
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
