Metric,Value
Symbol,DFSM
Company Name,Dewan Farooque Spinning Mills Limited
Price open,18.2
Price close,17.18
Price high,18.77
Price low,17
52 week high price,35.24
52 week low price,3.75
Market cap,1.68B
Shares outstanding,97.75M
Free float shares,34.21M
Weekly average volume,6.12M
Free Float %,35
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
