Metric,Value
Symbol,BECO
Company Name,Beco Steel Limited
Price open,5.28
Price close,5.2
Price high,5.28
Price low,5.18
52 week high price,73.6
52 week low price,3.9
Market cap,6.5B
Shares outstanding,1.25B
Free float shares,437.37M
Weekly average volume,2.95M
Free Float %,35
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
