Metric,Value
Symbol,FEM
Company Name,First Equity Modaraba
Price open,12
Price close,11.13
Price high,12
Price low,10.66
52 week high price,17.7
52 week low price,4.4
Market cap,583.66M
Shares outstanding,52.44M
Free float shares,36.71M
Weekly average volume,267.52K
Free Float %,70
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
