Metric,Value
Symbol,HINOON
Company Name,Highnoon Laboratories Limited
Price open,985.68
Price close,980.13
Price high,986
Price low,969.99
52 week high price,1.24K
52 week low price,755.56
Market cap,51.93B
Shares outstanding,52.98M
Free float shares,21.19M
Weekly average volume,26.67K
Free Float %,40
Dividend Yield (%),4.89
Earnings Per Share,75.63
Net Income Margin (%),14.32
Price to Book Value,3.51
Price to Earnings,11.35
PEG Ratio,0.3
