Metric,Value
Symbol,CRTM
Company Name,The Crescent Textile Mills Limited
Price open,82.24
Price close,80
Price high,82.24
Price low,78.52
52 week high price,96.5
52 week low price,16.6
Market cap,8B
Shares outstanding,100M
Free float shares,60M
Weekly average volume,26.52K
Free Float %,60
Dividend Yield (%),0
Earnings Per Share,1.31
Net Income Margin (%),0.69
Price to Book Value,0.63
Price to Earnings,31.57
PEG Ratio,-8.38
