Metric,Value
Symbol,GEMBCEM
Company Name,Burj Clean Energy Modaraba(GEM)
Price open,12
Price close,12
Price high,14.36
Price low,11.75
52 week high price,14.5
52 week low price,9.64
Market cap,1.2B
Shares outstanding,100M
Free float shares,25M
Weekly average volume,2.3K
Free Float %,25
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
