Metric,Value
Symbol,SANSM
Company Name,Sanghar Sugar Mills Limited
Price open,122.01
Price close,121.59
Price high,130
Price low,121.55
52 week high price,148.99
52 week low price,41
Market cap,1.45B
Shares outstanding,11.95M
Free float shares,6.57M
Weekly average volume,128.8
Free Float %,55
Dividend Yield (%),0
Earnings Per Share,15.39
Net Income Margin (%),3.07
Price to Book Value,0.45
Price to Earnings,8.03
PEG Ratio,0.08
