Metric,Value
Symbol,GRYL
Company Name,Grays Leasing Limited
Price open,20.52
Price close,21.36
Price high,21.5
Price low,20.04
52 week high price,53.14
52 week low price,6.5
Market cap,459.24M
Shares outstanding,21.5M
Free float shares,2.15M
Weekly average volume,31.33K
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
