Metric,Value
Symbol,PKGI
Company Name,The Pakistan General Insurance Co. Ltd.
Price open,19.1
Price close,18.01
Price high,19.19
Price low,17.51
52 week high price,42.49
52 week low price,8.01
Market cap,900.5M
Shares outstanding,50M
Free float shares,5M
Weekly average volume,35.47K
Free Float %,10
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
