Metric,Value
Symbol,BAFS
Company Name,Baba Farid Sugar Mills Limited
Price open,381
Price close,418.56
Price high,418.56
Price low,381
52 week high price,474.51
52 week low price,64
Market cap,3.96B
Shares outstanding,9.45M
Free float shares,472.5K
Weekly average volume,3.58K
Free Float %,5
Dividend Yield (%),0.74
Earnings Per Share,60.89
Net Income Margin (%),8.1
Price to Book Value,1.93
Price to Earnings,3.3
PEG Ratio,0.04
