Metric,Value
Symbol,EXIDE
Company Name,Exide Pakistan Limited
Price open,521.43
Price close,519.65
Price high,528.28
Price low,510
52 week high price,900
52 week low price,365
Market cap,4.04B
Shares outstanding,7.77M
Free float shares,1.94M
Weekly average volume,4.77K
Free Float %,25
Dividend Yield (%),1.21
Earnings Per Share,55.53
Net Income Margin (%),2.2
Price to Book Value,0.54
Price to Earnings,7.44
PEG Ratio,-
