Metric,Value
Symbol,FCL
Company Name,Fast Cables Limited
Price open,23.85
Price close,23.97
Price high,24.09
Price low,23.31
52 week high price,28.56
52 week low price,19.65
Market cap,15.45B
Shares outstanding,644.58M
Free float shares,161.14M
Weekly average volume,772.06K
Free Float %,25
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
