Metric,Value
Symbol,DINT
Company Name,Din Textile Mills Limited
Price open,70.05
Price close,67.93
Price high,74.5
Price low,65.2
52 week high price,102.76
52 week low price,41.36
Market cap,3.56B
Shares outstanding,52.47M
Free float shares,7.87M
Weekly average volume,51.58K
Free Float %,15
Dividend Yield (%),0
Earnings Per Share,-3.91
Net Income Margin (%),-0.63
Price to Book Value,0.51
Price to Earnings,-17.36
PEG Ratio,-1.84
