Metric,Value
Symbol,NML
Company Name,Nishat Mills Limited
Price open,148.67
Price close,144.43
Price high,148.79
Price low,143.56
52 week high price,208.4
52 week low price,120
Market cap,50.78B
Shares outstanding,351.6M
Free float shares,158.22M
Weekly average volume,1.95M
Free Float %,45
Dividend Yield (%),1.59
Earnings Per Share,33.41
Net Income Margin (%),5.75
Price to Book Value,0.3
Price to Earnings,3.61
PEG Ratio,1.54
