Metric,Value
Symbol,IREIT
Company Name,Image Reit
Price open,8.1
Price close,8.08
Price high,8.26
Price low,8.01
52 week high price,13.05
52 week low price,7.26
Market cap,2.23B
Shares outstanding,275.86M
Free float shares,96.55M
Weekly average volume,522.35K
Free Float %,35
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
