Metric,Value
Symbol,GVGL
Company Name,Ghani Value Glass Limited
Price open,55.45
Price close,53.5
Price high,55.95
Price low,53.05
52 week high price,75
52 week low price,43.65
Market cap,8.02B
Shares outstanding,149.94M
Free float shares,29.38M
Weekly average volume,2.97K
Free Float %,19.59
Dividend Yield (%),5.61
Earnings Per Share,6.64
Net Income Margin (%),15.54
Price to Book Value,1.59
Price to Earnings,7.29
PEG Ratio,-
