Metric,Value
Symbol,KOIL
Company Name,Kohinoor Industries Limited
Price open,43.5
Price close,42.56
Price high,47.33
Price low,40.9
52 week high price,110
52 week low price,12.01
Market cap,1.29B
Shares outstanding,30.3M
Free float shares,13.64M
Weekly average volume,243.56K
Free Float %,45
Dividend Yield (%),6.75
Earnings Per Share,1.58
Net Income Margin (%),46.87
Price to Book Value,1.73
Price to Earnings,41.68
PEG Ratio,-3.62
