Metric,Value
Symbol,IBFL
Company Name,Ibrahim Fibres Limited
Price open,306
Price close,298.98
Price high,310
Price low,289
52 week high price,397.32
52 week low price,176.55
Market cap,92.84B
Shares outstanding,310.51M
Free float shares,15.53M
Weekly average volume,2.17K
Free Float %,5
Dividend Yield (%),0
Earnings Per Share,-1.49
Net Income Margin (%),-0.44
Price to Book Value,1.62
Price to Earnings,94.72
PEG Ratio,-18.18
