Metric,Value
Symbol,WTL
Company Name,Worldcall Telecom Limited
Price open,1.27
Price close,1.23
Price high,1.28
Price low,1.22
52 week high price,2.41
52 week low price,1.1
Market cap,6.13B
Shares outstanding,4.98B
Free float shares,4.31B
Weekly average volume,24.67M
Free Float %,86.44
Dividend Yield (%),0
Earnings Per Share,-0.07
Net Income Margin (%),-5.49
Price to Book Value,-3.46
Price to Earnings,-17.9
PEG Ratio,8.78
