Metric,Value
Symbol,ASIC
Company Name,Asia Insurance Company Limited
Price open,34.38
Price close,34.45
Price high,34.45
Price low,34.3
52 week high price,58.31
52 week low price,13
Market cap,2.52B
Shares outstanding,73.01M
Free float shares,21.9M
Weekly average volume,734.6
Free Float %,30
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
