Metric,Value
Symbol,REWM
Company Name,Reliance Weaving Mills Limited
Price open,165.11
Price close,166.7
Price high,177.44
Price low,165.11
52 week high price,244.05
52 week low price,96.02
Market cap,5.14B
Shares outstanding,30.81M
Free float shares,10.78M
Weekly average volume,1.04K
Free Float %,35
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
