Metric,Value
Symbol,PAKQATAR
Company Name,Pak Qatar Family Takaful Limited
Price open,22.35
Price close,21.77
Price high,22.35
Price low,21.52
52 week high price,29.4
52 week low price,15.24
Market cap,5.02B
Shares outstanding,230.71M
Free float shares,80.75M
Weekly average volume,639.51K
Free Float %,35
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
