Metric,Value
Symbol,PIAHCLA
Company Name,PIA Holding Company Limited
Price open,28.88
Price close,28.72
Price high,29.65
Price low,28.57
52 week high price,49.65
52 week low price,16.3
Market cap,150.31B
Shares outstanding,5.23B
Free float shares,189.17M
Weekly average volume,7.72M
Free Float %,3.61
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
