Metric,Value
Symbol,ANTM
Company Name,AN Textile Mills Limited
Price open,59
Price close,52.56
Price high,59
Price low,51.32
52 week high price,66.38
52 week low price,20.81
Market cap,507.73M
Shares outstanding,9.66M
Free float shares,1.45M
Weekly average volume,16.99K
Free Float %,15
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
