Metric,Value
Symbol,ICIBL
Company Name,Invest Capital Investment Bank Limited
Price open,21.8
Price close,20.43
Price high,21.8
Price low,20.25
52 week high price,24.26
52 week low price,3.06
Market cap,879.57M
Shares outstanding,43.05M
Free float shares,19.37M
Weekly average volume,1.08M
Free Float %,45
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
