Metric,Value
Symbol,EFUG
Company Name,EFU General Insurance Limited
Price open,124.99
Price close,124.98
Price high,124.99
Price low,123.01
52 week high price,139.71
52 week low price,109.8
Market cap,25B
Shares outstanding,200M
Free float shares,30M
Weekly average volume,7.46K
Free Float %,15
Dividend Yield (%),8
Earnings Per Share,27.72
Net Income Margin (%),5.32
Price to Book Value,0.92
Price to Earnings,4.17
PEG Ratio,-
