Metric,Value
Symbol,SRR
Company Name,Signature Residency Reit
Price open,16.3
Price close,16.26
Price high,16.4
Price low,16.23
52 week high price,21
52 week low price,15.26
Market cap,536.58M
Shares outstanding,33M
Free float shares,13.2M
Weekly average volume,56.85K
Free Float %,40
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
