Metric,Value
Symbol,AATM
Company Name,Ali Asghar Textile Mills Limited
Price open,60
Price close,59.56
Price high,60.1
Price low,57.02
52 week high price,82
52 week low price,32.1
Market cap,2.65B
Shares outstanding,44.43M
Free float shares,926.22K
Weekly average volume,13.41K
Free Float %,2.08
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
