Metric,Value
Symbol,BRRG
Company Name,B.R.R Guardian Limited
Price open,48
Price close,48
Price high,49.17
Price low,48
52 week high price,53.77
52 week low price,27.52
Market cap,4.56B
Shares outstanding,95.01M
Free float shares,47.5M
Weekly average volume,15.16K
Free Float %,50
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
