Metric,Value
Symbol,HICL
Company Name,Habib Insurance Company Limited
Price open,11.6
Price close,11.08
Price high,11.6
Price low,11
52 week high price,20.4
52 week low price,9.75
Market cap,1.37B
Shares outstanding,123.87M
Free float shares,74.32M
Weekly average volume,147.18K
Free Float %,60
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
