Metric,Value
Symbol,BLUEX
Company Name,Blue-Ex Limited
Price open,7.86
Price close,7.43
Price high,7.87
Price low,7.25
52 week high price,80.85
52 week low price,4.9
Market cap,2.11B
Shares outstanding,284.28M
Free float shares,113.71M
Weekly average volume,19.83M
Free Float %,40
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
