Metric,Value
Symbol,DAAG
Company Name,Data Agro Limited
Price open,89.95
Price close,88
Price high,90
Price low,85
52 week high price,120.25
52 week low price,52
Market cap,352M
Shares outstanding,4M
Free float shares,970.7K
Weekly average volume,1.76K
Free Float %,24.27
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
