Metric,Value
Symbol,HINO
Company Name,Hinopak Motors Limited
Price open,428
Price close,429.46
Price high,434
Price low,423
52 week high price,634.5
52 week low price,264.69
Market cap,10.65B
Shares outstanding,24.8M
Free float shares,2.55M
Weekly average volume,15.11K
Free Float %,10.28
Dividend Yield (%),3.62
Earnings Per Share,21.82
Net Income Margin (%),4.92
Price to Book Value,1.76
Price to Earnings,13.83
PEG Ratio,0.27
