Metric,Value
Symbol,FIMM
Company Name,First Imrooz Modaraba
Price open,200
Price close,200
Price high,215
Price low,200
52 week high price,397.69
52 week low price,173.39
Market cap,600M
Shares outstanding,3M
Free float shares,900K
Weekly average volume,234.6
Free Float %,30
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
