Metric,Value
Symbol,AVN
Company Name,Avanceon Limited
Price open,33.43
Price close,33.12
Price high,33.65
Price low,33.04
52 week high price,54.3
52 week low price,26.5
Market cap,14.23B
Shares outstanding,429.67M
Free float shares,150.38M
Weekly average volume,378.36K
Free Float %,35
Dividend Yield (%),2.29
Earnings Per Share,1.02
Net Income Margin (%),2.52
Price to Book Value,0.95
Price to Earnings,29.51
PEG Ratio,-12.03
