Metric,Value
Symbol,BPL
Company Name,Burshane LPG (Pakistan) Limited
Price open,53.91
Price close,54.7
Price high,55
Price low,53
52 week high price,80.97
52 week low price,20.01
Market cap,1.23B
Shares outstanding,22.49M
Free float shares,6.75M
Weekly average volume,52.05K
Free Float %,30
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
