Metric,Value
Symbol,PINL
Company Name,Premier Insurance Limited
Price open,11.25
Price close,10.59
Price high,11.5
Price low,10.5
52 week high price,15.39
52 week low price,5.81
Market cap,535.48M
Shares outstanding,50.57M
Free float shares,27.81M
Weekly average volume,866.94K
Free Float %,55
Dividend Yield (%),0
Earnings Per Share,3.89
Net Income Margin (%),28.41
Price to Book Value,0.49
Price to Earnings,1.9
PEG Ratio,-
