Metric,Value
Symbol,DEL
Company Name,Dawood Equities Limited
Price open,20.31
Price close,20.03
Price high,20.83
Price low,20
52 week high price,32.38
52 week low price,10.55
Market cap,550.83M
Shares outstanding,27.5M
Free float shares,11M
Weekly average volume,33.17K
Free Float %,40
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
