Metric,Value
Symbol,BAPL
Company Name,Bawany Air Products Limited
Price open,29.55
Price close,29.27
Price high,30
Price low,29
52 week high price,64.03
52 week low price,27
Market cap,219.6M
Shares outstanding,7.5M
Free float shares,6.75M
Weekly average volume,141.67K
Free Float %,90
Dividend Yield (%),0
Earnings Per Share,-13.61
Net Income Margin (%),-
Price to Book Value,-2.62
Price to Earnings,-2.15
PEG Ratio,-0.02
