Metric,Value
Symbol,ISL
Company Name,International Steels Limited
Price open,86
Price close,83.26
Price high,86.02
Price low,81.9
52 week high price,135
52 week low price,65.45
Market cap,36.22B
Shares outstanding,435M
Free float shares,152.25M
Weekly average volume,347.27K
Free Float %,35
Dividend Yield (%),6.4
Earnings Per Share,6.93
Net Income Margin (%),3.59
Price to Book Value,1.42
Price to Earnings,10.13
PEG Ratio,-2.92
