Metric,Value
Symbol,OCTOPUS
Company Name,Octopus Digital Limited
Price open,32.93
Price close,31.86
Price high,32.93
Price low,31.75
52 week high price,60.89
52 week low price,24.35
Market cap,5.01B
Shares outstanding,157.26M
Free float shares,47.18M
Weekly average volume,148.64K
Free Float %,30
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
