Metric,Value
Symbol,PCAL
Company Name,Pakistan Cables Limited
Price open,171.5
Price close,166.05
Price high,171.5
Price low,165
52 week high price,250
52 week low price,125.02
Market cap,9.04B
Shares outstanding,54.46M
Free float shares,16.34M
Weekly average volume,8.44K
Free Float %,30
Dividend Yield (%),0
Earnings Per Share,3.43
Net Income Margin (%),0.62
Price to Book Value,0.93
Price to Earnings,40.92
PEG Ratio,1.17
