Metric,Value
Symbol,SRVI
Company Name,Service Industries Limited
Price open,2.23K
Price close,2.23K
Price high,2.24K
Price low,2.2K
52 week high price,2.46K
52 week low price,1.13K
Market cap,104.62B
Shares outstanding,46.99M
Free float shares,23.49M
Weekly average volume,25.88K
Free Float %,50
Dividend Yield (%),0.79
Earnings Per Share,223.93
Net Income Margin (%),6.65
Price to Book Value,3.99
Price to Earnings,9.94
PEG Ratio,0.09
