Metric,Value
Symbol,YOUW
Company Name,Yousaf Weaving Mills Limited
Price open,5.22
Price close,5.14
Price high,5.29
Price low,5.05
52 week high price,9.59
52 week low price,3.19
Market cap,885.89M
Shares outstanding,172.35M
Free float shares,86.18M
Weekly average volume,1.16M
Free Float %,50
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
