Metric,Value
Symbol,NETSOL
Company Name,NetSol Technologies Limited
Price open,123.31
Price close,121.06
Price high,124.89
Price low,120.75
52 week high price,164.59
52 week low price,87.66
Market cap,10.88B
Shares outstanding,89.84M
Free float shares,26.95M
Weekly average volume,347.8K
Free Float %,30
Dividend Yield (%),0
Earnings Per Share,32.29
Net Income Margin (%),21.96
Price to Book Value,0.86
Price to Earnings,3.04
PEG Ratio,0.09
