Metric,Value
Symbol,MDTL
Company Name,Media Times Limited
Price open,5.67
Price close,5.67
Price high,5.88
Price low,5.66
52 week high price,9.3
52 week low price,2.65
Market cap,1.01B
Shares outstanding,178.85M
Free float shares,125.2M
Weekly average volume,1.01M
Free Float %,70
Dividend Yield (%),0
Earnings Per Share,3.98
Net Income Margin (%),393.72
Price to Book Value,-3.21
Price to Earnings,1.26
PEG Ratio,-0.03
