Metric,Value
Symbol,TPLL
Company Name,TPL Life Insurance Limited
Price open,26.15
Price close,25.67
Price high,27
Price low,22.9
52 week high price,68
52 week low price,15.06
Market cap,5.76B
Shares outstanding,224.5M
Free float shares,33.68M
Weekly average volume,187.68K
Free Float %,15
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
