Metric,Value
Symbol,CNERGY
Company Name,Cnergyico PK  Limited
Price open,9.62
Price close,9.81
Price high,10.08
Price low,9.54
52 week high price,10.28
52 week low price,5.87
Market cap,53.89B
Shares outstanding,5.49B
Free float shares,1.37B
Weekly average volume,77.76M
Free Float %,25
Dividend Yield (%),0
Earnings Per Share,2.78
Net Income Margin (%),4.49
Price to Book Value,0.24
Price to Earnings,2.35
PEG Ratio,0.06
