Metric,Value
Symbol,UBDL
Company Name,United Brands Limited
Price open,24.85
Price close,23.65
Price high,24.85
Price low,23.26
52 week high price,34.5
52 week low price,20.01
Market cap,2.17B
Shares outstanding,91.8M
Free float shares,4.59M
Weekly average volume,6.98K
Free Float %,5
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
