Metric,Value
Symbol,PIAHCLB
Company Name,PIA Holding Company LimitedB
Price open,18.25K
Price close,18.1K
Price high,18.25K
Price low,17.1K
52 week high price,34.2K
52 week low price,14.5K
Market cap,27.15B
Shares outstanding,1.5M
Free float shares,2.83K
Weekly average volume,11.4
Free Float %,0.19
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
