Metric,Value
Symbol,DIIL
Company Name,Diamond Industries Limited
Price open,62
Price close,60.51
Price high,62
Price low,60
52 week high price,91.87
52 week low price,23.3
Market cap,544.59M
Shares outstanding,9M
Free float shares,4.05M
Weekly average volume,5.21K
Free Float %,45
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
