Metric,Value
Symbol,LSEFSL
Company Name,LSE Financial Services Limited.
Price open,21
Price close,20.75
Price high,21
Price low,19.2
52 week high price,35.97
52 week low price,11.31
Market cap,560.25M
Shares outstanding,27M
Free float shares,8.1M
Weekly average volume,309.19K
Free Float %,30
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
