Metric,Value
Symbol,BFMOD
Company Name,B.F. Modaraba
Price open,23.5
Price close,22.57
Price high,23.5
Price low,22.23
52 week high price,38.84
52 week low price,10
Market cap,169.62M
Shares outstanding,7.52M
Free float shares,2.63M
Weekly average volume,64.82K
Free Float %,35
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
