Metric,Value
Symbol,CHAS
Company Name,Chashma Sugar Mills Limited
Price open,109.02
Price close,108.64
Price high,110.98
Price low,107.5
52 week high price,160.49
52 week low price,56.01
Market cap,3.12B
Shares outstanding,28.69M
Free float shares,4.3M
Weekly average volume,21.96K
Free Float %,15
Dividend Yield (%),0
Earnings Per Share,-57.51
Net Income Margin (%),-5.08
Price to Book Value,0.3
Price to Earnings,-1.89
PEG Ratio,-0.16
