Metric,Value
Symbol,FCIBL
Company Name,First Credit and Investment Bank Limited
Price open,35.5
Price close,35.29
Price high,35.9
Price low,35
52 week high price,61.33
52 week low price,12.25
Market cap,2.29B
Shares outstanding,65M
Free float shares,26M
Weekly average volume,6.78K
Free Float %,40
Dividend Yield (%),
Earnings Per Share,
Net Income Margin (%),
Price to Book Value,
Price to Earnings,
PEG Ratio,
