Metric,Value
Symbol,DFML
Company Name,Dewan Farooque Motors Limited
Price open,18.71
Price close,18.52
Price high,18.75
Price low,18.22
52 week high price,38.38
52 week low price,13.35
Market cap,5.56B
Shares outstanding,299.99M
Free float shares,90M
Weekly average volume,593.94K
Free Float %,30
Dividend Yield (%),0
Earnings Per Share,-3.3
Net Income Margin (%),-4.6K
Price to Book Value,-1.5
Price to Earnings,-5.61
PEG Ratio,-
